voxel_volume_2021,convex_hull_volume_2021,voxel_area_2021,Model_2021,Iteration_2021,point2tree_Volume_2021,point2tree_area_2021,graham_volume_2021,graham_Area_2021,lky_name,TotalBranches_2021,voxel_volume_2023,convex_hull_volume_2023,voxel_area_2023,Model_2023,Iteration_2023,point2tree_Volume_2023,point2tree_area_2023,graham_volume_2023,graham_Area_2023,TotalBranches_2023,convex_hull_area_2023,convex_hull_area_2021
0.004,0.00048844,0.03,tree_627,3400,0.000851684,0.016285571,0.000492911,0.008814746,混01_51_行39_3_000155,100,0.392,0.848679621,1.2,tree_660,3400,0.257443364,0.930887136,0.655270878,1.026226338,220,1.197007516,0.009363625
0.091,0.112436384,0.19,tree_320,3400,0.043600557,0.125143949,0.064056165,0.098081881,蓝20_50_行15_2_000386,100,0.468,2.270110559,1.84,tree_337,3400,0.433486577,1.528300399,1.028289439,1.292654637,218,2.539860154,0.13036581
0.133,0.139428291,0.43,tree_1001,3400,0.06424452,0.307023888,0.11905874,0.320079159,蓝20_50_行16_1_000455,100,1.941,10.78664784,4.89,tree_1056,3400,4.243617381,5.213724819,6.136568394,4.895156154,927,5.92425276,0.35141064
0.116,0.151961447,0.32,tree_459,3400,0.105760932,0.210521267,0.11628458,0.206329523,蓝20_50_行11_1_000369,100,0.443,1.937008146,1.46,tree_487,3400,0.56142815,1.365334601,0.957678777,1.2102878,246,1.702291595,0.25143091
0.006,0.002635841,0.04,tree_540,3400,0.002116914,0.030345155,0.001594895,0.017680008,蓝20_50_行11_1_000376,100,0.332,1.09994787,1.07,tree_571,3400,0.267081553,0.892798197,0.528092572,0.958467014,214,1.234576834,0.02799975
0.316,0.980261945,0.86,tree_1136,3400,0.415836306,0.683037,0.465951781,0.400574475,混01_51_行67_3_000456,187,3.656,31.1981534,8.15,tree_1197,3400,13.41839592,8.626037269,17.5620769,6.947894637,1588,10.14610575,0.777148335
0.18,0.205986032,0.35,tree_1077,3400,0.124629197,0.271713493,0.14399006,0.156794737,绿01-34_1_000323,140,3.431,18.00755138,6.06,tree_1134,3400,8.45096282,6.485148363,10.80936309,4.689286958,1606,6.721797331,0.24615139
0.139,0.215297261,0.34,tree_144,3400,0.093314602,0.268696774,0.131478303,0.209567567,蓝20_50_行9_1_000231,100,0.982,3.439763477,2.65,tree_152,3400,1.232229291,2.52924087,2.067010855,2.623220519,545,3.114038785,0.268353425
0.195,0.496182955,0.59,tree_926,3400,0.099298687,0.430164338,0.246584151,0.613079987,蓝20_50_行13_1_000364,155,1.223,4.551502857,2.35,tree_974,3400,1.898017508,2.082064422,2.653859447,1.829908259,800,2.452428592,0.78832634
0.048,0.04477335,0.15,tree_175,3400,0.015144129,0.133350318,0.022123125,0.084995348,蓝20_50_行11_2_000087,100,0.362,0.772935707,1.23,tree_184,3400,0.192787375,0.939124221,0.49431592,0.983909348,361,1.249268562,0.12082308
